#
#	OGMP Gene Names Database
#
#	IMPORTANT POINTS:
#	-----------------
#	A) This file is accessed by other programs. Be careful when modifying it.
#	B) Use a very wide window to view/modify this file.
#
#	DESCRIPTION:
#	------------
#	Each field is separated a vertical bar (|). Blanks surrounding each
#	bar are ignored. There must be exactly SIX fields per line.
#
#	Fields that are unset should contain a single "-".
#
#	The first field is a list of gene names separated by "=". The first
#	name is the official (prefered) name and all others are synonyms.
#	Case is not sensitive when matching names to the list, but when programs
#	use the prefered name they will use the exact spelling mentionned there.
#
#	last update:06_03_10 ; GB: 18dec2015
#
#
#	Mitochondria encoded genes
#                          |  Product   |
# Gene names               |  Type      |  Product name                                                          |  General function                                  |  Enzyme complex           |  E.C. number
#==========================|============|========================================================================|====================================================|===========================|=================
atp1=atpA                  | protein    | ATP synthase F1 subunit alpha                                          | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp2                       | protein    | ATP synthase F1 subunit beta                                           | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp3                       | protein    | ATP synthase F1 subunit gamma                                          | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp4=ymf39                 | protein    | ATP synthase F0 subunit b                                              | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp5                       | protein    | ATP synthase F1 subunit OSCP                                           | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp6=MURF4                 | protein    | ATP synthase F0 subunit a                                              | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp8=ymf19=orfB            | protein    | ATP synthase F0 subunit 8                                              | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
atp9                       | protein    | ATP synthase F0 subunit c                                              | ox. phosphorylation                                | ATP synthase              | 3.6.3.14  
ccmA=yejW                  | protein    | ABC transporter ATP-binding subunit                                    | cytochrome c1 biosynthesis,transmembrane transport | ABC transporter           | -         
ccmB=yejV                  | protein    | ABC transporter channel subunit                                        | cytochrome c1 biosynthesis,transmembrane transport | ABC transporter           | -         
ccmC=yejU=ymf4             | protein    | ABC transporter subunit C                                              | cytochrome c1 biosynthesis,transmembrane transport | ABC transporter           | -         
ccmF=yejR=ccl1             | protein    | haem lyase                                                             | haem c1 biosynthesis                               | -                         | -         
cms                        | protein    | cytoplasmic male sterility protein                                     | -                                                  | -                         | -         
cob=cytB                   | protein    | apocytochrome b                                                        | electron transport                                 | respiratory complex III   | 1.10.2.2  
cox1=coxI                  | protein    | cytochrome c oxidase subunit 1                                         | electron transport                                 | respiratory complex IV    | 1.9.3.1   
cox11                      | protein    | protein involved in haem biosynthesis                                  | haem biosynthesis                                  | -                         | -         
cox15                      | protein    | cytochrome c oxidase subunit 15                                        | electron transport                                 | respiratory complex IV    | 1.9.3.1 
cox1_cox2                  | protein    | fusion of cytochrome c oxidase subunit 1,2                             | electron transport                                 | respiratory complex IV    | 1.9.3.1   
cox2=coxII                 | protein    | cytochrome c oxidase subunit 2                                         | electron transport                                 | respiratory complex IV    | 1.9.3.1   
cox3=coxIII                | protein    | cytochrome c oxidase subunit 3                                         | electron transport                                 | respiratory complex IV    | 1.9.3.1   
dam=mtf                    | protein    | DNA adenine methyltransferase                                          | methyltransferase activity                         | -                         | -         
dpo                        | protein    | DNA polymerase                                                         | replication                                        | DNA polymerase            | 2.7.7.7   
endonuclease               | protein    | endonuclease                                                           | -                                                  | -                         | -         
g_atp6                     | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_cob=gCYb                 | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_cox2                     | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_cox3=gCOIII              | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_CR3                      | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_CR5                      | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_gene                     | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
GIY-YIG                    | protein    | GIY-YIG endonuclease                                                   | -                                                  | -                         | -         
g_MURF2                    | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_MURF4                    | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_nad7=gND7                | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_nad8=gND8                | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_nad9=gND9                | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
g_rps12                    | RNA        | guide rna                                                              | RNA editing                                        | -                         | -         
LAGLIDADG                  | protein    | LAGLIDADG endonuclease                                                 | -                                                  | -                         | -         
matR                       | protein    | intron maturase                                                        | RNA-directed DNA polymerase activity; endodeoxyribonuclear activity | -                         | -         
mutS=msh1                  | protein    | mutS-like protein                                                      | DNA repair                                         | -                         | -         
nad1                       | protein    | NADH dehydrogenase subunit 1                                           | electron transport                                 | respiratory complex I     | 1.6.5.3   
nad10=psbG                 | protein    | NADH dehydrogenase subunit 10                                          | electron transport                                 | respiratory complex I     | 1.6.5.3   
